model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_colsample_bytree,param_learning_rate,param_reg_lambda,param_scale_pos_weight,param_subsample,param_mlp__alpha,param_mlp__batch_size,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init
XGBoost,4.2601901690165205,0.2799612817875902,0.22465125719706217,0.010085906412064208,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.023084321898044245,0.02570694087403599,0.03011855174623518,0.026303271506105137,0.0029025052462029032,20,0.08535433070866141,0.08112373737373738,0.07879746835443038,0.08175851214560972,0.0027141991134694123,0.9,0.1,0.5,1.0,0.9,,,,
XGBoost,2.7139618396759033,0.6698793327568098,0.12375227610270183,0.015495238840943996,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.267538644470868,0.2672587131367292,0.2698997515208637,0.268232369709487,0.0011845426590434633,14,0.3785368340555697,0.3768054555466136,0.375,0.3767807632007278,0.0014440120193678953,0.9,0.1,0.5,7.960158485582214,0.9,,,,
XGBoost,2.2847551504770913,0.027402390320740606,0.11884760856628418,0.004170653367042031,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.0231809401159047,0.02956298200514139,0.02704443013522215,0.026596117418756077,0.00262467177475608,19,0.0786481364497789,0.07457949857188194,0.06779121578612349,0.07367295026926145,0.004478433799366698,0.9,0.1,1.0,1.0,0.9,,,,
XGBoost,2.283336321512858,0.019841059684845275,0.11310887336730957,0.0056898990965791865,,6.0,,,120.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 120, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2673869007427414,0.27034230032481055,0.27444930144853,0.27072616750536066,0.0028959617218359446,13,0.3727058427344671,0.3749472796288486,0.37595187008288106,0.3745349974820656,0.0013568728294820246,0.9,0.1,1.0,7.960158485582214,0.9,,,,
XGBoost,3.602223793665568,0.5946125227798551,0.12764986356099448,0.015405882899680881,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.02681136291094797,0.036328871892925434,0.03742467491278148,0.033521636572218294,0.004765922472542965,18,0.1374233128834356,0.11952314599783248,0.11810291382517049,0.12501645756881286,0.008792110438893608,0.9,0.1,0.5,1.0,0.9,,,,
XGBoost,2.905258576075236,0.2790157978877531,0.12284588813781738,0.023932215075553934,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 0.5, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.2623338794829783,0.2622098754368671,0.27058823529411763,0.2650439967379877,0.0039206955272690636,16,0.4326914383871259,0.42997509621915325,0.42589928057553955,0.42952193839393954,0.0027913396957121674,0.9,0.1,0.5,7.960158485582214,0.9,,,,
XGBoost,2.7636942863464355,0.09746942540991893,0.07915600140889485,0.005068308657020332,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.03062200956937799,0.03694267515923567,0.03379024545744342,0.03378497672868569,0.002580403611108123,17,0.12095901005413766,0.11481768813033359,0.104391311142366,0.11338933644227907,0.0068387281086644625,0.9,0.1,1.0,1.0,0.9,,,,
XGBoost,2.794042428334554,0.0438064314808111,0.07252566019694011,0.0027898285085990646,,6.0,,,200.0,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_lambda': 1.0, 'scale_pos_weight': 7.960158485582214, 'subsample': 0.9}",0.26308217946412515,0.2669179680488243,0.27095604893520614,0.2669853988160518,0.0032148473569965923,15,0.4269068746078695,0.4318924809298947,0.42461593426223654,0.4278050966000002,0.003037777138195206,0.9,0.1,1.0,7.960158485582214,0.9,,,,
Rede Neural,20.58686900138855,1.1231529565741256,0.35433276494344074,0.28510739735471513,,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001}",0.026122969098438992,0.020618556701030927,0.013636363636363636,0.020125963145277852,0.005109521523571434,2,0.04169982492439917,0.02920410783055199,0.014334582179508063,0.028412838311486405,0.011185815667190766,,,,,,0.001,64.0,"(100,)",0.001
Rede Neural,16.136008659998577,1.8001903916889401,0.5983332792917887,0.36948800288545447,,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01}",0.01618646811265782,0.008524590163934427,0.0,0.00823701942553075,0.0066112258161257625,7,0.024559702698335757,0.005579258286839514,0.0,0.010046320328391757,0.010512238316044394,,,,,,0.001,64.0,"(100,)",0.01
Rede Neural,34.06110962231954,0.9723241669389835,0.3368409474690755,0.20800009383014528,,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (150, 75), 'mlp__learning_rate_init': 0.001}",0.006548788474132285,0.016877637130801686,0.005254515599343186,0.009560313734759053,0.005201038475170665,6,0.016636763986299135,0.026588845654993514,0.007229707525468288,0.01681843905558698,0.007904379024844812,,,,,,0.001,64.0,"(150, 75)",0.001
Rede Neural,52.8311759630839,26.008065238611294,0.3026916980743408,0.15290714880202938,,,,,,"{'mlp__alpha': 0.001, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (150, 75), 'mlp__learning_rate_init': 0.01}",0.013029315960912053,0.0,0.04121750158528852,0.01808227251540019,0.01720212945518614,4,0.027171276079573023,0.0,0.040667196187450357,0.022612824089007794,0.016912319471317553,,,,,,0.001,64.0,"(150, 75)",0.01
Rede Neural,17.131577173868816,2.3564329140866143,0.1453410784403483,0.01355736167009554,,,,,,"{'mlp__alpha': 0.01, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001}",0.022257551669316374,0.021269738962294553,0.01299545159194282,0.018840914074517916,0.004152992271638462,3,0.06456692913385827,0.027013989387361312,0.014336917562724014,0.03530594536131453,0.02132808658419775,,,,,,0.01,64.0,"(100,)",0.001
Rede Neural,46.956254959106445,23.76762581175772,0.12668704986572266,0.08614573478194164,,,,,,"{'mlp__alpha': 0.01, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01}",0.0484472049689441,0.013721006207121855,0.0,0.020722737058688653,0.02038874025067197,1,0.061762880198634386,0.011758941695247428,0.0,0.024507273964627273,0.026777519481156822,,,,,,0.01,64.0,"(100,)",0.01
Rede Neural,23.54725519816081,0.4915378201999246,0.22829294204711914,0.09913621541499006,,,,,,"{'mlp__alpha': 0.01, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (150, 75), 'mlp__learning_rate_init': 0.001}",0.003943476832073612,0.0046022353714661405,0.0039447731755424065,0.004163495126360719,0.00031023665389824683,8,0.014056881333769205,0.00821287779237845,0.007228519796287169,0.009832759640811609,0.0030138174268750286,,,,,,0.01,64.0,"(150, 75)",0.001
Rede Neural,53.07078170776367,12.554617910856283,0.10928845405578613,0.04315640257608731,,,,,,"{'mlp__alpha': 0.01, 'mlp__batch_size': 64, 'mlp__hidden_layer_sizes': (150, 75), 'mlp__learning_rate_init': 0.01}",0.016202203499675955,0.01626545217957059,0.007866273352999017,0.013444643010748521,0.0039445875261977514,5,0.02390566952027136,0.02008097165991903,0.007876599934361668,0.01728774703818402,0.006835414924644727,,,,,,0.01,64.0,"(150, 75)",0.01
